model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,car_age,mileage_per_year,engine_category,fuel_efficiency,tax_category,price_segment
 Fiesta,2017,12000,Automatic,15944,Petrol,150,57.7,1.0,9,1594.4,small,medium,medium,Premium
 Focus,2018,14000,Manual,9083,Petrol,150,57.7,1.0,8,1009.2222222222222,small,medium,medium,Premium
 Focus,2017,13000,Manual,12456,Petrol,150,57.7,1.0,9,1245.6,small,medium,medium,Premium
 Fiesta,2019,17500,Manual,10460,Petrol,145,40.3,1.5,7,1307.5,medium,medium,medium,Luxury
 Fiesta,2019,16500,Automatic,1482,Petrol,145,48.7,1.0,7,185.25,small,medium,medium,Luxury
 Fiesta,2015,10500,Manual,35432,Petrol,145,47.9,1.6,11,2952.6666666666665,medium,medium,medium,Economy
 Puma,2019,22500,Manual,2029,Petrol,145,50.4,1.0,7,253.625,small,medium,medium,Luxury
 Fiesta,2017,9000,Manual,13054,Petrol,145,54.3,1.2,9,1305.4,small,medium,medium,Economy
 Kuga,2019,25500,Automatic,6894,Diesel,145,42.2,2.0,7,861.75,medium,medium,medium,Luxury
 Focus,2018,10000,Manual,48141,Petrol,145,61.4,1.0,8,5349.0,small,high,medium,Economy
 Fiesta,2018,11561,Manual,18803,Petrol,145,56.5,1.0,8,2089.222222222222,small,medium,medium,Premium
 EcoSport,2018,13500,Manual,12065,Petrol,145,54.3,1.0,8,1340.5555555555557,small,medium,medium,Premium
 Fiesta,2017,11000,Manual,20978,Petrol,0,65.7,1.0,9,2097.8,small,high,low,Economy
 Kuga,2018,17999,Semi-Auto,9002,Diesel,145,54.3,2.0,8,1000.2222222222222,medium,medium,medium,Luxury
 Kuga,2018,18999,Semi-Auto,8970,Diesel,145,58.9,1.5,8,996.6666666666666,medium,medium,medium,Luxury
 Kuga,2018,14399,Manual,12810,Diesel,145,64.2,1.5,8,1423.3333333333333,medium,high,medium,Premium
 Kuga,2019,17999,Manual,10428,Diesel,145,38.2,2.0,7,1303.5,medium,low,medium,Luxury
 Kuga,2018,16899,Manual,14680,Diesel,145,54.3,2.0,8,1631.111111111111,medium,medium,medium,Luxury
 Fiesta,2017,10999,Manual,12427,Petrol,20,62.8,1.0,9,1242.7,small,high,low,Economy
 Fiesta,2019,12500,Manual,25521,Petrol,145,55.4,1.0,7,3190.125,small,medium,medium,Premium
 Fiesta,2018,9499,Manual,20400,Petrol,145,55.4,1.1,8,2266.6666666666665,small,medium,medium,Economy
 Fiesta,2017,10500,Manual,24926,Petrol,145,65.7,1.0,9,2492.6,small,high,medium,Economy
 Fiesta,2017,8995,Manual,26163,Petrol,145,65.7,1.0,9,2616.3,small,high,medium,Budget
 Kuga,2014,8995,Manual,59000,Diesel,160,47.9,2.0,12,4538.461538461538,medium,medium,medium,Budget
 Fiesta,2014,6795,Manual,35299,Petrol,0,65.7,1.0,12,2715.3076923076924,small,high,low,Budget
 Focus,2017,18499,Manual,13063,Petrol,145,41.5,2.0,9,1306.3,medium,medium,medium,Luxury
 C-MAX,2018,11799,Manual,23800,Diesel,145,68.9,1.5,8,2644.4444444444443,medium,high,medium,Premium
 Fiesta,2015,8299,Manual,25935,Petrol,0,65.7,1.0,11,2161.25,small,high,low,Budget
 Fiesta,2018,12499,Manual,8700,Petrol,145,58.9,1.0,8,966.6666666666666,small,medium,medium,Premium
 Fiesta,2017,8699,Manual,25000,Petrol,125,54.3,1.2,9,2500.0,small,medium,medium,Budget
 Fiesta,2016,7999,Manual,60730,Diesel,0,78.5,1.5,10,5520.909090909091,medium,high,low,Budget
 Fiesta,2017,8991,Manual,18561,Petrol,145,54.3,1.2,9,1856.1,small,medium,medium,Budget
 Focus,2019,18990,Manual,8400,Petrol,145,60.1,1.0,7,1050.0,small,high,medium,Luxury
 Fiesta,2013,7236,Manual,39090,Petrol,0,65.7,1.0,13,2792.1428571428573,small,high,low,Budget
 Kuga,2018,15287,Semi-Auto,33149,Diesel,145,58.9,1.5,8,3683.222222222222,medium,medium,medium,Premium
 Mondeo,2019,20000,Manual,24,Diesel,145,65.7,2.0,7,3.0,medium,high,medium,Luxury
 EcoSport,2020,20000,Manual,558,Petrol,145,53.3,1.0,6,79.71428571428571,small,medium,medium,Luxury
 Kuga,2019,21378,Manual,3259,Diesel,145,39.2,2.0,7,407.375,medium,low,medium,Luxury
 Fiesta,2018,9814,Manual,15100,Petrol,145,65.7,1.0,8,1677.7777777777778,small,high,medium,Economy
 Ka+,2018,8261,Manual,25000,Petrol,145,57.7,1.2,8,2777.777777777778,small,medium,medium,Budget
 Fiesta,2017,8788,Manual,15612,Petrol,145,65.7,1.0,9,1561.2,small,high,medium,Budget
 Fiesta,2018,12251,Manual,8920,Petrol,145,58.9,1.0,8,991.1111111111111,small,medium,medium,Premium
 Kuga,2017,16320,Manual,24803,Diesel,145,60.1,2.0,9,2480.3,medium,high,medium,Luxury
 Fiesta,2019,13140,Manual,7,Petrol,145,48.7,1.1,7,0.875,small,medium,medium,Premium
 Fiesta,2018,10491,Semi-Auto,43019,Petrol,145,48.7,1.0,8,4779.888888888889,small,medium,medium,Economy
 Kuga,2016,13870,Semi-Auto,41607,Diesel,145,54.3,2.0,10,3782.4545454545455,medium,medium,medium,Premium
 Focus,2017,14960,Manual,23554,Petrol,145,41.5,2.0,9,2355.4,medium,medium,medium,Premium
 Fiesta,2019,13540,Manual,6923,Petrol,145,58.9,1.0,7,865.375,small,medium,medium,Premium
 Focus,2019,17970,Manual,10985,Diesel,145,74.3,1.5,7,1373.125,medium,high,medium,Luxury
 C-MAX,2017,9330,Manual,29617,Diesel,20,68.9,1.5,9,2961.7,medium,high,low,Economy
 Fiesta,2016,6000,Manual,47613,Petrol,0,65.7,1.0,10,4328.454545454545,small,high,low,Budget
 Ka+,2019,8995,Manual,5122,Petrol,145,43.5,1.2,7,640.25,small,medium,medium,Budget
 Ka+,2019,8495,Manual,32,Petrol,145,48.7,1.2,7,4.0,small,medium,medium,Budget
 Fiesta,2016,6395,Manual,31562,Petrol,125,54.3,1.2,10,2869.2727272727275,small,medium,medium,Budget
 Focus,2019,14495,Manual,8131,Petrol,145,58.9,1.0,7,1016.375,small,medium,medium,Premium
 Tourneo Custom,2018,19995,Automatic,24568,Diesel,145,31.7,2.0,8,2729.777777777778,medium,low,medium,Luxury
 S-MAX,2017,18495,Automatic,39605,Diesel,145,54.3,2.0,9,3960.5,medium,medium,medium,Luxury
 Focus,2019,17995,Manual,11496,Diesel,145,57.6,2.0,7,1437.0,medium,medium,medium,Luxury
 Fiesta,2013,5495,Manual,51271,Petrol,30,54.3,1.2,13,3662.214285714286,small,medium,low,Budget
 Kuga,2018,16995,Automatic,7189,Diesel,145,58.9,1.5,8,798.7777777777778,medium,medium,medium,Luxury
 Kuga,2018,16495,Manual,29428,Diesel,145,54.3,1.5,8,3269.777777777778,medium,medium,medium,Luxury
 Kuga,2018,17998,Manual,12162,Petrol,145,39.2,1.5,8,1351.3333333333333,medium,low,medium,Luxury
 B-MAX,2014,7498,Semi-Auto,33023,Petrol,160,44.1,1.6,12,2540.230769230769,medium,medium,medium,Budget
 Focus,2019,17498,Manual,2714,Petrol,150,49.6,1.0,7,339.25,small,medium,medium,Luxury
 S-MAX,2017,17498,Manual,17051,Diesel,150,56.5,2.0,9,1705.1,medium,medium,medium,Luxury
 Fiesta,2013,5998,Manual,44304,Diesel,0,76.4,1.5,13,3164.5714285714284,medium,high,low,Budget
 Kuga,2019,17698,Manual,4844,Petrol,145,34.4,1.5,7,605.5,medium,low,medium,Luxury
 Kuga,2016,11000,Manual,31810,Diesel,125,60.1,2.0,10,2891.818181818182,medium,high,medium,Economy
 EcoSport,2017,8700,Manual,43081,Petrol,145,44.8,1.5,9,4308.1,medium,medium,medium,Budget
 Kuga,2017,15300,Manual,47159,Diesel,145,54.3,2.0,9,4715.9,medium,medium,medium,Luxury
 Fiesta,2013,7490,Manual,25000,Petrol,0,65.7,1.0,13,1785.7142857142858,small,high,low,Budget
 Focus,2017,10760,Manual,29891,Petrol,145,60.1,1.0,9,2989.1,small,high,medium,Economy
 Kuga,2019,18760,Manual,10237,Petrol,145,39.2,1.5,7,1279.625,medium,low,medium,Luxury
 Fiesta,2014,6360,Manual,48653,Petrol,0,65.7,1.0,12,3742.5384615384614,small,high,low,Budget
 Fiesta,2014,6270,Manual,60888,Petrol,0,65.7,1.0,12,4683.692307692308,small,high,low,Budget
 Kuga,2017,17920,Automatic,15815,Petrol,235,38.2,1.5,9,1581.5,medium,low,high,Luxury
 Fiesta,2013,4790,Manual,74128,Petrol,0,65.7,1.0,13,5294.857142857143,small,high,low,Budget
 Focus,2015,7830,Manual,50124,Diesel,0,74.3,1.5,11,4177.0,medium,high,low,Budget
 Fiesta,2015,6990,Manual,29851,Diesel,0,76.4,1.5,11,2487.5833333333335,medium,high,low,Budget
 Edge,2016,18640,Manual,24105,Diesel,160,48.7,2.0,10,2191.3636363636365,medium,medium,medium,Luxury
 Fiesta,2015,6700,Manual,28935,Petrol,30,54.3,1.2,11,2411.25,small,medium,low,Budget
 Fiesta,2018,9498,Manual,30925,Petrol,145,65.7,1.0,8,3436.1111111111113,small,high,medium,Economy
 Focus,2018,13698,Manual,13418,Petrol,145,58.9,1.0,8,1490.888888888889,small,medium,medium,Premium
