iter	RMSE
0	4561.551671
1	4406.993477
2	4255.843235
3	4114.491655
4	3981.610659
5	3856.314114
6	3737.354802
7	3621.493625
8	3519.49517
9	3412.519832
10	3316.615378
11	3234.389107
12	3141.614611
13	3061.923606
14	2987.701828
15	2915.498804
16	2844.511685
17	2773.836792
18	2708.524678
19	2649.810499
20	2597.547811
21	2542.798936
22	2488.566854
23	2442.251709
24	2397.652277
25	2338.849376
26	2281.663899
27	2229.830396
28	2179.465827
29	2131.822771
30	2088.634647
31	2047.932012
32	2008.385715
33	1971.968863
34	1938.12597
35	1907.447169
36	1877.154851
37	1848.422879
38	1821.779627
39	1795.684201
40	1772.133291
41	1750.869044
42	1727.651258
43	1705.83498
44	1685.870501
45	1667.799734
46	1650.095378
47	1634.406643
48	1618.245657
49	1604.368984
50	1590.223676
51	1576.476369
52	1564.576758
53	1553.287882
54	1539.634876
55	1527.531416
56	1515.900906
57	1505.344317
58	1493.810104
59	1484.467087
60	1475.457519
61	1466.982843
62	1459.253453
63	1451.457689
64	1444.443156
65	1437.416386
66	1429.633397
67	1424.382212
68	1418.075481
69	1412.707266
70	1407.893838
71	1401.30759
72	1396.42506
73	1392.499106
74	1388.403019
75	1385.916504
76	1380.823331
77	1377.170198
78	1373.069132
79	1369.383331
80	1366.017884
81	1363.293746
82	1359.49415
83	1356.688706
84	1354.586121
85	1352.069587
86	1348.398857
87	1346.331369
88	1343.498225
89	1341.206868
90	1339.82033
91	1337.720494
92	1333.448499
93	1331.476229
94	1327.640847
95	1324.864495
96	1321.178628
97	1319.55562
98	1318.464387
99	1316.831187
100	1314.071231
101	1312.234199
102	1309.74446
103	1309.051574
104	1307.94357
105	1305.177642
106	1304.083748
107	1302.037709
108	1301.848271
109	1300.265123
110	1298.330838
111	1297.304565
112	1296.069156
113	1294.610547
114	1293.044695
115	1292.203913
116	1291.149603
117	1289.80513
118	1288.719177
119	1288.02739
120	1287.43702
121	1286.769824
122	1286.005309
123	1284.62229
124	1283.77534
125	1283.07265
126	1281.798949
127	1280.811816
128	1280.298413
129	1276.234436
130	1274.786871
131	1273.841925
132	1273.07339
133	1272.184432
134	1271.814688
135	1271.468359
136	1269.821917
137	1268.351709
138	1267.185119
139	1266.916279
140	1265.746272
141	1263.523137
142	1263.097018
143	1262.146695
144	1259.769353
145	1258.973705
146	1257.973139
147	1257.603807
148	1256.965718
149	1255.223792
150	1254.881527
151	1254.339727
152	1252.919023
153	1252.210047
154	1251.530899
155	1251.251287
156	1251.080194
157	1250.456614
158	1249.138857
159	1248.689259
160	1246.61015
161	1246.238373
162	1244.606138
163	1244.474316
164	1244.290453
165	1242.953923
166	1241.93505
167	1241.739468
168	1241.235659
169	1240.253959
170	1240.018015
171	1239.595735
172	1239.143724
173	1238.200808
174	1236.985914
175	1236.382969
176	1235.284153
177	1234.742822
178	1234.721622
179	1232.969088
180	1232.590126
181	1232.002616
182	1231.600137
183	1231.087689
184	1228.783597
185	1228.348029
186	1228.328789
187	1227.902632
188	1227.239912
189	1226.415446
190	1225.478223
191	1224.39647
192	1224.143802
193	1223.25511
194	1222.611581
195	1221.113641
196	1220.503903
197	1220.230053
198	1219.528903
199	1219.008403
200	1218.548238
201	1218.264492
202	1216.694851
203	1216.668384
204	1216.642895
205	1216.240229
206	1215.521037
207	1215.501069
208	1214.696478
209	1213.426714
210	1213.293659
211	1213.134545
212	1212.97938
213	1212.634305
214	1212.584022
215	1212.303112
216	1212.267039
217	1212.225895
218	1212.193648
219	1211.725316
220	1210.472536
221	1210.014836
222	1209.099876
223	1208.155986
224	1207.344268
225	1207.217242
226	1207.098941
227	1206.617831
228	1206.599348
229	1206.581435
230	1204.609725
231	1204.405362
232	1204.096931
233	1203.589075
234	1203.017629
235	1202.897026
236	1202.771308
237	1202.590068
238	1201.416133
239	1200.391369
240	1199.406141
241	1199.252606
242	1199.088075
243	1199.05413
244	1198.520176
245	1198.272943
246	1197.529952
247	1196.616171
248	1196.494538
249	1195.414464
250	1194.310576
251	1193.911551
252	1193.424026
253	1193.40068
254	1192.68896
255	1192.574827
256	1192.297464
257	1192.275288
258	1192.253961
259	1191.432501
260	1191.012002
261	1190.577422
262	1190.087816
263	1189.247638
264	1189.055727
265	1189.033303
266	1189.008074
267	1188.323933
268	1187.47739
269	1186.258063
270	1185.724552
271	1185.623523
272	1185.263721
273	1184.786251
274	1184.508039
275	1183.953356
276	1183.932842
277	1183.591765
278	1182.939344
279	1182.803822
280	1182.246237
281	1181.514619
282	1181.013913
283	1180.5713
284	1179.868962
285	1179.853023
286	1179.487928
287	1179.335572
288	1179.232919
289	1178.89252
290	1178.360814
291	1178.111716
292	1177.810972
293	1177.509939
294	1176.701049
295	1175.962499
296	1175.92812
297	1175.204823
298	1174.945578
299	1174.849621
300	1174.832381
301	1173.719166
302	1173.144166
303	1173.048292
304	1171.953942
305	1171.835158
306	1171.745392
307	1171.729838
308	1171.120932
309	1170.964144
310	1170.384616
