iter	Passed	Remaining
0	694	485469
1	1223	426908
2	1796	417378
3	2241	389939
4	3092	182475
5	3626	177676
6	3996	167271
7	4403	160711
8	4781	154596
9	5019	145566
10	5367	141022
11	5556	133359
12	5879	129798
13	6216	127003
14	6514	123782
15	6739	119627
16	6942	115577
17	7092	111110
18	7242	107118
19	7417	103838
20	7566	100522
21	7764	168699
22	7903	163920
3	7665	152032
24	7794	148094
25	7916	144331
26	7167	125557
27	7313	123283
28	7477	121437
	5652	182776
30	5765	180218
31	5890	178199
32	6016	176298
33	6099	173290
34	6198	170913
35	6307	168904
36	6451	167916
37	6555	165969
38	6672	164423
39	6771	162521
40	6866	160598
41	6978	159184
42	7088	157757
43	7161	155593
44	7232	153497
45	7300	151405
46	7357	149195
47	7419	147149
48	7478	145147
49	7554	143530
50	7625	141900
51	7675	139921
52	7726	138058
53	7780	136296
54	7837	134665
55	7884	132908
56	7647	126557	57	7697	125058	58	7754	123659	7832	122701
60	7892	121493
61	7948	120256
62	8011	119151
63	8077	118137
64	8120	116816
65	8173	115664
66	8215	114406
67	8252	113101
68	8292	111892
5
69	7826	103977
70	7882	103138
71	7939	102329
72	7994	101524
73	8042	100640
74	8102	99931
75	8143	99011
76	8197	98260
77	8240	97404
78	8276	96485
79	8315	95630
80	8350	94736
81	8380	93821
82	8411	92937
6
85	7625	81046
86	7684	80645
87	7738	80200
88	7792	79764
89	7838	79252
90	7888	78800
91	7947	78441
92	7991	77942
93	8044	77530
94	8086	77038
95	8125	76514
96	8164	76007
97	8196	75444
98	8229	74900
